fraud_case_id,user_id,channel,scenario_text,expected_risk_level,expected_alert,fraud_type,risk_signals
F001,U001,voz,Me piden transferir mi dinero a una cuenta segura porque hay un fraude,alto,True,vishing,"cuenta_segura,urgencia,transferencia"
F002,U001,sms,"Mamá soy yo, he perdido el móvil, envíame dinero urgente a este número",alto,True,suplantacion_familiar,"familiar,urgencia,dinero"
F003,U001,email,Confirme su IBAN y tarjeta en este enlace para evitar el bloqueo,alto,True,phishing,"enlace,iban,tarjeta,bloqueo"
F004,U001,sms,Su cuenta será bloqueada. Pulse este enlace e introduzca su clave,alto,True,phishing,"enlace,amenaza,clave"
F005,U001,llamada,Un técnico dice que debe entrar en mi móvil para arreglar mi banca online,alto,True,soporte_falso,"acceso_remoto,soporte_falso"
F006,U001,voz,Me piden transferir mi dinero a una cuenta segura porque hay un fraude,alto,True,vishing,"cuenta_segura,urgencia,transferencia"
F007,U001,llamada,Un técnico dice que debe entrar en mi móvil para arreglar mi banca online,alto,True,soporte_falso,"acceso_remoto,soporte_falso"
F008,U001,llamada,Un técnico dice que debe entrar en mi móvil para arreglar mi banca online,alto,True,soporte_falso,"acceso_remoto,soporte_falso"
F009,U001,voz,Me piden transferir mi dinero a una cuenta segura porque hay un fraude,alto,True,vishing,"cuenta_segura,urgencia,transferencia"
F010,U001,voz,Me piden transferir mi dinero a una cuenta segura porque hay un fraude,alto,True,vishing,"cuenta_segura,urgencia,transferencia"
F011,U001,email,Confirme su IBAN y tarjeta en este enlace para evitar el bloqueo,alto,True,phishing,"enlace,iban,tarjeta,bloqueo"
F012,U001,llamada,Me dicen que haga un Bizum urgente para desbloquear mi cuenta,alto,True,bizum,"urgencia,pago_inmediato,bloqueo_cuenta"
F013,U001,llamada,Me dicen que haga un Bizum urgente para desbloquear mi cuenta,alto,True,bizum,"urgencia,pago_inmediato,bloqueo_cuenta"
F014,U001,llamada,Dicen que son del banco y me piden el código que acaba de llegar por SMS,alto,True,vishing,"codigo_sms,suplantacion_banco"
F015,U001,sms,Su cuenta será bloqueada. Pulse este enlace e introduzca su clave,alto,True,phishing,"enlace,amenaza,clave"
F016,U001,voz,Me piden transferir mi dinero a una cuenta segura porque hay un fraude,alto,True,vishing,"cuenta_segura,urgencia,transferencia"
F017,U001,llamada,Un técnico dice que debe entrar en mi móvil para arreglar mi banca online,alto,True,soporte_falso,"acceso_remoto,soporte_falso"
F018,U001,sms,Su cuenta será bloqueada. Pulse este enlace e introduzca su clave,alto,True,phishing,"enlace,amenaza,clave"
F019,U001,llamada,Dicen que son del banco y me piden el código que acaba de llegar por SMS,alto,True,vishing,"codigo_sms,suplantacion_banco"
F020,U001,llamada,Un técnico dice que debe entrar en mi móvil para arreglar mi banca online,alto,True,soporte_falso,"acceso_remoto,soporte_falso"
F021,U001,sms,"Mamá soy yo, he perdido el móvil, envíame dinero urgente a este número",alto,True,suplantacion_familiar,"familiar,urgencia,dinero"
F022,U001,llamada,Dicen que son del banco y me piden el código que acaba de llegar por SMS,alto,True,vishing,"codigo_sms,suplantacion_banco"
F023,U001,voz,Me piden transferir mi dinero a una cuenta segura porque hay un fraude,alto,True,vishing,"cuenta_segura,urgencia,transferencia"
F024,U001,sms,"Mamá soy yo, he perdido el móvil, envíame dinero urgente a este número",alto,True,suplantacion_familiar,"familiar,urgencia,dinero"
F025,U001,sms,"Mamá soy yo, he perdido el móvil, envíame dinero urgente a este número",alto,True,suplantacion_familiar,"familiar,urgencia,dinero"
F026,U001,llamada,Dicen que son del banco y me piden el código que acaba de llegar por SMS,alto,True,vishing,"codigo_sms,suplantacion_banco"
F027,U001,voz,Me piden transferir mi dinero a una cuenta segura porque hay un fraude,alto,True,vishing,"cuenta_segura,urgencia,transferencia"
F028,U001,llamada,Un técnico dice que debe entrar en mi móvil para arreglar mi banca online,alto,True,soporte_falso,"acceso_remoto,soporte_falso"
F029,U001,sms,"Mamá soy yo, he perdido el móvil, envíame dinero urgente a este número",alto,True,suplantacion_familiar,"familiar,urgencia,dinero"
F030,U001,llamada,Dicen que son del banco y me piden el código que acaba de llegar por SMS,alto,True,vishing,"codigo_sms,suplantacion_banco"
F031,U001,llamada,Dicen que son del banco y me piden el código que acaba de llegar por SMS,alto,True,vishing,"codigo_sms,suplantacion_banco"
F032,U001,llamada,Un técnico dice que debe entrar en mi móvil para arreglar mi banca online,alto,True,soporte_falso,"acceso_remoto,soporte_falso"
F033,U001,voz,Me piden transferir mi dinero a una cuenta segura porque hay un fraude,alto,True,vishing,"cuenta_segura,urgencia,transferencia"
F034,U001,llamada,Dicen que son del banco y me piden el código que acaba de llegar por SMS,alto,True,vishing,"codigo_sms,suplantacion_banco"
F035,U001,llamada,Dicen que son del banco y me piden el código que acaba de llegar por SMS,alto,True,vishing,"codigo_sms,suplantacion_banco"
