transaction_id,user_id,date,time,description,merchant,amount,category,balance_after,channel,is_recurring,is_anomaly,anomaly_type,notes
T0001,U001,2026-01-01,09:05,Pensión Seguridad Social,Seguridad Social,980.0,pension,2430.0,transferencia,True,False,,
T0002,U001,2026-01-02,08:15,Comisión mantenimiento cuenta,Banco Familiar,-6.0,comision,2424.0,banco,True,False,,
T0003,U001,2026-01-04,18:05,Compra supermercado,Mercadona,-43.26,supermercado,2380.74,tarjeta,False,False,,
T0004,U001,2026-01-05,07:50,Recibo luz mensual,Luz Hogar,-68.63,luz,2312.11,domiciliacion,True,False,,
T0005,U001,2026-01-06,10:40,Compra farmacia,Farmacia Salud,-14.85,farmacia,2297.26,tarjeta,False,False,,
T0006,U001,2026-01-08,07:55,Recibo agua,Aguas Ciudad,-21.33,agua,2275.93,domiciliacion,True,False,,
T0007,U001,2026-01-09,10:10,Cafetería / ocio,Cafetería Plaza,-7.18,ocio,2268.75,tarjeta,False,False,,
T0008,U001,2026-01-09,12:20,Compra farmacia,Farmacia Salud,-26.99,farmacia,2241.76,tarjeta,False,False,,
T0009,U001,2026-01-10,10:20,Compra farmacia,Farmacia Central,-8.41,farmacia,2233.35,tarjeta,False,False,,
T0010,U001,2026-01-11,10:05,Compra supermercado,Mercadona,-29.87,supermercado,2203.48,tarjeta,False,False,,
T0011,U001,2026-01-12,08:05,Factura teléfono móvil,Telecom Senior,-24.9,telefono,2178.58,domiciliacion,True,False,,
T0012,U001,2026-01-14,09:15,Seguro hogar trimestral,Seguros Hogar,-86.0,seguro,2092.58,domiciliacion,True,False,,
T0013,U001,2026-01-15,10:00,Retirada de efectivo cajero,Cajero Banco Familiar,-40,retirada_efectivo,2052.58,cajero,False,False,,
T0014,U001,2026-01-16,10:35,Cafetería / ocio,Panadería Sol,-5.3,ocio,2047.28,tarjeta,False,False,,
T0015,U001,2026-01-16,13:05,Taxi / transporte local,TMB,-15.75,transporte,2031.53,tarjeta,False,False,,
T0016,U001,2026-01-18,18:45,Compra supermercado,Mercadona,-42.2,supermercado,1989.33,tarjeta,False,False,,
T0017,U001,2026-01-21,19:10,Cafetería / ocio,Cafetería Plaza,-3.5,ocio,1985.83,tarjeta,False,False,,
T0018,U001,2026-01-25,18:45,Compra supermercado,Super Barrio,-29.94,supermercado,1955.89,tarjeta,False,False,,
T0019,U001,2026-02-01,09:05,Pensión Seguridad Social,Seguridad Social,980.0,pension,2935.89,transferencia,True,False,,
T0020,U001,2026-02-02,08:15,Comisión mantenimiento cuenta,Banco Familiar,-6.0,comision,2929.89,banco,True,False,,
T0021,U001,2026-02-04,10:45,Compra supermercado,Consum,-27.88,supermercado,2902.01,tarjeta,False,False,,
T0022,U001,2026-02-05,07:50,Recibo luz mensual,Luz Hogar,-58.94,luz,2843.07,domiciliacion,True,False,,
T0023,U001,2026-02-07,19:10,Cafetería / ocio,Panadería Sol,-7.2,ocio,2835.87,tarjeta,False,False,,
T0024,U001,2026-02-08,07:55,Recibo agua,Aguas Ciudad,-33.18,agua,2802.69,domiciliacion,True,False,,
T0025,U001,2026-02-10,10:40,Compra farmacia,Farmacia Salud,-25.42,farmacia,2777.27,tarjeta,False,False,,
T0026,U001,2026-02-11,11:20,Compra supermercado,Consum,-46.65,supermercado,2730.62,tarjeta,False,False,,
T0027,U001,2026-02-12,08:05,Factura teléfono móvil,Telecom Senior,-24.9,telefono,2705.72,domiciliacion,True,False,,
T0028,U001,2026-02-12,17:20,Compra farmacia,Farmacia Salud,-9.71,farmacia,2696.01,tarjeta,False,False,,
T0029,U001,2026-02-18,10:05,Compra supermercado,Mercadona,-50.98,supermercado,2645.03,tarjeta,False,False,,
T0030,U001,2026-02-18,10:10,Cafetería / ocio,Cafetería Plaza,-4.68,ocio,2640.35,tarjeta,False,False,,
T0031,U001,2026-02-18,10:15,Compra supermercado,Mercadona,-34.75,supermercado,2605.6,tarjeta,False,True,duplicado,Primer cargo de un posible duplicado.
T0032,U001,2026-02-18,10:48,Compra supermercado,Mercadona,-34.75,supermercado,2570.85,tarjeta,False,True,duplicado,Cargo duplicado en menos de 6 horas.
T0033,U001,2026-02-19,17:20,Compra farmacia,Farmacia Central,-31.93,farmacia,2538.92,tarjeta,False,False,,
T0034,U001,2026-02-22,10:30,Retirada de efectivo cajero,Cajero Banco Familiar,-60,retirada_efectivo,2478.92,cajero,False,False,,
T0035,U001,2026-02-25,11:20,Compra supermercado,Mercadona,-29.6,supermercado,2449.32,tarjeta,False,False,,
T0036,U001,2026-03-01,09:05,Pensión Seguridad Social,Seguridad Social,980.0,pension,3429.32,transferencia,True,False,,
T0037,U001,2026-03-02,08:15,Comisión mantenimiento cuenta,Banco Familiar,-6.0,comision,3423.32,banco,True,False,,
T0038,U001,2026-03-02,08:25,Comisión extraordinaria mantenimiento,Banco Familiar,-28.0,comision,3395.32,banco,False,True,comision_inusual,Comisión superior a la media histórica.
T0039,U001,2026-03-04,10:45,Compra supermercado,Bonpreu,-49.67,supermercado,3345.65,tarjeta,False,False,,
T0040,U001,2026-03-04,18:25,Taxi / transporte local,Taxi Ciudad,-18.15,transporte,3327.5,tarjeta,False,False,,
T0041,U001,2026-03-05,07:50,Recibo luz mensual,Luz Hogar,-77.9,luz,3249.6,domiciliacion,True,False,,
T0042,U001,2026-03-07,19:50,Cafetería / ocio,Panadería Sol,-13.61,ocio,3235.99,tarjeta,False,False,,
T0043,U001,2026-03-08,07:55,Recibo agua,Aguas Ciudad,-27.88,agua,3208.11,domiciliacion,True,False,,
T0044,U001,2026-03-09,12:10,Compra farmacia,Farmacia Central,-18.2,farmacia,3189.91,tarjeta,False,True,duplicado,Primer cargo de un posible duplicado.
T0045,U001,2026-03-09,12:20,Compra farmacia,Farmacia Central,-7.51,farmacia,3182.4,tarjeta,False,False,,
T0046,U001,2026-03-09,12:42,Compra farmacia,Farmacia Central,-18.2,farmacia,3164.2,tarjeta,False,True,duplicado,Cargo duplicado en menos de 6 horas.
T0047,U001,2026-03-11,11:05,Compra supermercado,Bonpreu,-37.65,supermercado,3126.55,tarjeta,False,False,,
T0048,U001,2026-03-12,08:05,Factura teléfono móvil,Telecom Senior,-24.9,telefono,3101.65,domiciliacion,True,False,,
T0049,U001,2026-03-18,11:05,Compra supermercado,Bonpreu,-56.99,supermercado,3044.66,tarjeta,False,False,,
T0050,U001,2026-03-19,09:55,Taxi / transporte local,TMB,-17.64,transporte,3027.02,tarjeta,False,False,,
T0051,U001,2026-03-19,18:25,Taxi / transporte local,TMB,-18.42,transporte,3008.6,tarjeta,False,False,,
T0052,U001,2026-03-22,10:30,Retirada de efectivo cajero,Cajero Banco Familiar,-60,retirada_efectivo,2948.6,cajero,False,False,,
T0053,U001,2026-03-23,09:40,Compra farmacia,Farmacia Salud,-18.7,farmacia,2929.9,tarjeta,False,False,,
T0054,U001,2026-03-25,10:45,Compra supermercado,Mercadona,-53.34,supermercado,2876.56,tarjeta,False,False,,
T0055,U001,2026-03-26,10:00,Compra farmacia,Farmacia Salud,-25.83,farmacia,2850.73,tarjeta,False,False,,
T0056,U001,2026-04-01,09:05,Pensión Seguridad Social,Seguridad Social,980.0,pension,3830.73,transferencia,True,False,,
T0057,U001,2026-04-02,08:15,Comisión mantenimiento cuenta,Banco Familiar,-6.0,comision,3824.73,banco,True,False,,
T0058,U001,2026-04-04,10:05,Compra supermercado,Bonpreu,-22.76,supermercado,3801.97,tarjeta,False,False,,
T0059,U001,2026-04-05,07:50,Recibo luz mensual,Luz Hogar,-68.9,luz,3733.07,domiciliacion,True,False,,
T0060,U001,2026-04-08,07:55,Recibo agua,Aguas Ciudad,-26.7,agua,3706.37,domiciliacion,True,False,,
T0061,U001,2026-04-11,18:05,Compra supermercado,Consum,-22.26,supermercado,3684.11,tarjeta,False,False,,
T0062,U001,2026-04-12,08:05,Factura teléfono móvil,Telecom Senior,-24.9,telefono,3659.21,domiciliacion,True,False,,
T0063,U001,2026-04-12,09:00,Compra farmacia,Farmacia Salud,-15.21,farmacia,3644.0,tarjeta,False,False,,
T0064,U001,2026-04-14,09:15,Seguro hogar trimestral,Seguros Hogar,-86.0,seguro,3558.0,domiciliacion,True,False,,
T0065,U001,2026-04-16,13:05,Taxi / transporte local,TMB,-9.85,transporte,3548.15,tarjeta,False,False,,
T0066,U001,2026-04-16,18:55,Taxi / transporte local,Taxi Ciudad,-3.38,transporte,3544.77,tarjeta,False,False,,
T0067,U001,2026-04-18,18:45,Compra supermercado,Mercadona,-30.24,supermercado,3514.53,tarjeta,False,False,,
T0068,U001,2026-04-22,11:00,Retirada de efectivo cajero,Cajero Banco Familiar,-40,retirada_efectivo,3474.53,cajero,False,False,,
T0069,U001,2026-04-24,17:00,Compra farmacia,Farmacia Salud,-26.99,farmacia,3447.54,tarjeta,False,False,,
T0070,U001,2026-04-25,10:10,Cafetería / ocio,Cafetería Plaza,-5.09,ocio,3442.45,tarjeta,False,False,,
T0071,U001,2026-04-25,10:20,Compra supermercado,Mercadona,-40.51,supermercado,3401.94,tarjeta,False,False,,
T0072,U001,2026-04-27,17:00,Compra farmacia,Farmacia Central,-24.81,farmacia,3377.13,tarjeta,False,False,,
T0073,U001,2026-05-01,09:05,Pensión Seguridad Social,Seguridad Social,980.0,pension,4357.13,transferencia,True,False,,
T0074,U001,2026-05-02,08:15,Comisión mantenimiento cuenta,Banco Familiar,-6.0,comision,4351.13,banco,True,False,,
T0075,U001,2026-05-03,13:55,Taxi / transporte local,TMB,-17.45,transporte,4333.68,tarjeta,False,False,,
T0076,U001,2026-05-04,13:05,Taxi / transporte local,Taxi Ciudad,-11.72,transporte,4321.96,tarjeta,False,False,,
T0077,U001,2026-05-04,18:05,Compra supermercado,Mercadona,-55.35,supermercado,4266.61,tarjeta,False,False,,
T0078,U001,2026-05-05,07:50,Recibo luz mensual,Luz Hogar,-74.74,luz,4191.87,domiciliacion,True,False,,
T0079,U001,2026-05-07,09:40,Compra farmacia,Farmacia Salud,-19.07,farmacia,4172.8,tarjeta,False,False,,
T0080,U001,2026-05-07,18:05,Taxi / transporte local,Taxi Ciudad,-3.5,transporte,4169.3,tarjeta,False,False,,
T0081,U001,2026-05-08,07:55,Recibo agua,Aguas Ciudad,-21.98,agua,4147.32,domiciliacion,True,False,,
T0082,U001,2026-05-08,10:35,Cafetería / ocio,Panadería Sol,-4.44,ocio,4142.88,tarjeta,False,False,,
T0083,U001,2026-05-11,10:05,Compra supermercado,Super Barrio,-39.48,supermercado,4103.4,tarjeta,False,False,,
T0084,U001,2026-05-12,08:05,Factura teléfono móvil,Telecom Senior,-24.9,telefono,4078.5,domiciliacion,True,False,,
T0085,U001,2026-05-15,10:00,Compra farmacia,Farmacia Central,-25.45,farmacia,4053.05,tarjeta,False,False,,
T0086,U001,2026-05-15,17:40,Compra farmacia,Farmacia Salud,-10.02,farmacia,4043.03,tarjeta,False,False,,
T0087,U001,2026-05-18,10:20,Compra supermercado,Mercadona,-27.93,supermercado,4015.1,tarjeta,False,False,,
T0088,U001,2026-05-21,18:25,Taxi / transporte local,Taxi Ciudad,-12.6,transporte,4002.5,tarjeta,False,True,duplicado,Primer cargo de un posible duplicado.
T0089,U001,2026-05-21,18:59,Taxi / transporte local,Taxi Ciudad,-12.6,transporte,3989.9,tarjeta,False,True,duplicado,Cargo duplicado en menos de 6 horas.
T0090,U001,2026-05-22,10:00,Retirada de efectivo cajero,Cajero Banco Familiar,-60,retirada_efectivo,3929.9,cajero,False,False,,
T0091,U001,2026-05-25,10:20,Compra supermercado,Bonpreu,-55.35,supermercado,3874.55,tarjeta,False,False,,
T0092,U001,2026-06-01,09:05,Pensión Seguridad Social,Seguridad Social,980.0,pension,4854.55,transferencia,True,False,,
T0093,U001,2026-06-02,08:15,Comisión mantenimiento cuenta,Banco Familiar,-6.0,comision,4848.55,banco,True,False,,
T0094,U001,2026-06-02,08:35,Comisión servicio cuenta,Banco Familiar,-32.0,comision,4816.55,banco,False,True,comision_inusual,Comisión superior a la media histórica.
T0095,U001,2026-06-03,10:15,Retirada de efectivo cajero,Cajero Banco Familiar,-60,retirada_efectivo,4756.55,cajero,False,False,,
T0096,U001,2026-06-04,18:05,Compra supermercado,Mercadona,-41.35,supermercado,4715.2,tarjeta,False,False,,
T0097,U001,2026-06-05,07:50,Recibo luz mensual,Luz Hogar,-68.78,luz,4646.42,domiciliacion,True,False,,
T0098,U001,2026-06-08,07:55,Recibo agua,Aguas Ciudad,-26.94,agua,4619.48,domiciliacion,True,False,,
T0099,U001,2026-06-10,12:00,Compra farmacia,Farmacia Central,-25.3,farmacia,4594.18,tarjeta,False,False,,
T0100,U001,2026-06-10,19:10,Cafetería / ocio,Panadería Sol,-5.24,ocio,4588.94,tarjeta,False,False,,
T0101,U001,2026-06-11,18:20,Compra supermercado,Consum,-55.6,supermercado,4533.34,tarjeta,False,False,,
T0102,U001,2026-06-12,08:05,Factura teléfono móvil,Telecom Senior,-24.9,telefono,4508.44,domiciliacion,True,False,,
T0103,U001,2026-06-18,10:05,Compra supermercado,Bonpreu,-32.26,supermercado,4476.18,tarjeta,False,False,,
T0104,U001,2026-06-22,19:35,Cafetería / ocio,Panadería Sol,-12.96,ocio,4463.22,tarjeta,False,False,,
T0105,U001,2026-06-25,11:45,Compra supermercado,Bonpreu,-44.02,supermercado,4419.2,tarjeta,False,False,,
T0106,U001,2026-06-27,12:40,Compra farmacia,Farmacia Central,-30.41,farmacia,4388.79,tarjeta,False,False,,
